CABA,52547,45762,17706,12432,54436,7900
Buenos Aires,88775,43677,52654,22442,65602,69791
Catamarca,3117,985,1207,458,2352,7433
Cordoba,16608,14325,14901,3723,11521,18916
Corrientes,1352,2100,1306,798,1951,9489
Chaco,2499,1589,1277,940,2116,16500
Chubut,3003,1606,1697,581,932,10514
Entre Rios,1107,891,1446,316,2058,25973
Formosa,4829,2399,2592,758,2392,15178
Jujuy,1958,1188,921,871,1722,7374
La Pampa,1379,1355,1670,816,1028,6389
La Rioja,2242,955,1751,655,1911,5584
Mendoza,2228,1611,817,925,1593,13034
Misiones,14681,5483,5528,2328,5576,8939
Neuquen,1185,1954,1162,802,946,4655
Rio Negro,1583,1006,709,397,2237,11481
Salta,2652,1774,1194,849,1287,21757
San Juan,1931,2091,1837,744,1992,10389
San Luis,2895,1708,1361,399,1469,8939
Santa Cruz,1522,1696,1832,658,1194,5910
Santa Fe,7615,9340,6329,4011,11730,28812
Santiago del Estero,2412,1572,757,418,2408,10237
Tucuman,1946,792,1805,862,2038,12224
Tierra del Fuego,1159,954,1016,935,1984,2450